ID,Symbol
0,A
1,AACIU
2,AAIN
3,ABBV
4,ACACU
5,ACAHU
6,ACAXU
7,ACGL
8,ACGLN
9,ACM
10,ADBE
11,ADERU
12,ADI
13,ADM
14,ADP
15,ADSK
16,AEAEU
17,AEE
18,AEM
19,AEP
20,AEPPZ
21,AER
22,AES
23,AESC
24,AFARU
25,AFGC
26,AFGE
27,AFL
28,AGNCM
29,AGNCN
30,AGNCO
31,AGR
32,AIC
33,AIRTP
34,AIU
35,AIZN
36,AJG
37,ALC
38,ALGN
39,ALNY
40,ALORU
41,ALTUW
42,AMAT
43,AMD
44,AMH
45,AMP
46,AMPGW
47,AMRS
48,AMT
49,ANSS
50,AOGOU
51,AON
52,APA
53,APACU
54,APD
55,APH
56,APMIU
57,APP
58,APTMU
59,APTV
60,APXIU
61,AQNU
62,AQUNU
63,ARBKL
64,ARE
65,ARGX
66,ARIZU
67,ARQQW
68,ARRWU
69,ASCAU
70,ASML
71,ASX
72,ATAKU
73,ATLCL
74,ATMCU
75,ATO
76,ATVI
77,AVB
78,AVGO
79,AVTR
80,AVY
81,AWK
82,AXON
83,AZN
84,BABA
85,BAC
86,BALL
87,BAM
88,BANFP
89,BAP
90,BAX
91,BBD
92,BBLGW
93,BBVA
94,BCE
95,BCS
96,BCSAU
97,BEKE
98,BEPH
99,BEPI
100,BG
101,BGNE
102,BHFAM
103,BHFAP
104,BIOSU
105,BIP
106,BIPH
107,BK
108,BKDT
109,BKI
110,BLDR
111,BLEUU
112,BMRN
113,BNH
114,BNJ
115,BOCNU
116,BPOPM
117,BPYPN
118,BR
119,BRKHU
120,BRO
121,BSX
122,BSY
123,BTI
124,BTOG
125,BTWNU
126,BUD
127,BWBBP
128,BWNB
129,BX
130,BXSL
131,BYNOU
132,BYTSU
133,CAH
134,CASY
135,CB
136,CBOE
137,CCAIU
138,CCEP
139,CCJ
140,CCL
141,CCLDO
142,CCLDP
143,CCNEP
144,CCTSU
145,CCZ
146,CDAY
147,CDW
148,CDZIP
149,CE
150,CEG
151,CELH
152,CETUU
153,CF
154,CFFEU
155,CFG
156,CFIVU
157,CG
158,CGABL
159,CHEAU
160,CHKEL
161,CHKEW
162,CHKEZ
163,CHRB
164,CHRW
165,CHSCL
166,CHTR
167,CINF
168,CL
169,CLINR
170,CLVRW
171,CMCAU
172,CMCSA
173,CMSA
174,CMSC
175,CNFRL
176,CNHI
177,CNOBP
178,CNP
179,COF
180,COIN
181,COMSP
182,COO
183,COP
184,CP
185,CPB
186,CPNG
187,CPRT
188,CPT
189,CQP
190,CRM
191,CSCO
192,CSGP
193,CSL
194,CSLMU
195,CSSEP
196,CTAS
197,CTDD
198,CTRA
199,CTSH
200,CUBB
201,CUK
202,CVE
203,CVNA
204,CVX
205,CYCCP
206,CYTHW
207,D
208,DAL
209,DASH
210,DB
211,DD
212,DDOG
213,DE
214,DECAU
215,DECK
216,DELL
217,DEO
218,DFS
219,DGX
220,DHCAU
221,DINO
222,DKNG
